Approach,F1_Macro_MHS,Accuracy_MHS,F1_Macro_Stress,F1_Macro_Anxiety,F1_Macro_Depression,Hamming_Loss,Exact_Match_Ratio
"Single-Output (XGB+SKB, no SMOTE)",0.8528,0.8996,N/A,N/A,N/A,N/A,N/A
"Multi-Output (XGB, no SMOTE)",N/A,N/A,0.6589,0.8922,0.8719,0.1123,0.7038
