Feature_Method,Model,Best_Params,CV_F1_Macro,Test_Accuracy,Test_F1_Macro
mi,KNN,"OrderedDict({'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'})",0.9517,0.8889,0.8331
mi,SVM,"OrderedDict({'C': 42.89961259700248, 'gamma': 0.1, 'kernel': 'rbf'})",0.9612,0.8963,0.7981
mi,GB,"OrderedDict({'learning_rate': 0.13729231512732415, 'max_depth': 8, 'n_estimators': 235})",0.9493,0.8914,0.8351
mi,XGB,"OrderedDict({'colsample_bytree': 0.9198213766428692, 'learning_rate': 0.04436313425678925, 'max_depth': 6, 'n_estimators': 229, 'subsample': 0.9615408290026747})",0.9529,0.9086,0.8591
mi,LGBM,"OrderedDict({'learning_rate': 0.06348516039427839, 'min_child_samples': 47, 'n_estimators': 174, 'num_leaves': 87})",0.9523,0.8988,0.8263
mir,LR,"OrderedDict({'C': 0.22824736391882494, 'max_iter': 501})",0.8794,0.842,0.7683
mir,DT,"OrderedDict({'criterion': 'entropy', 'max_depth': 16, 'min_samples_leaf': 1, 'min_samples_split': 2})",0.9085,0.8346,0.7751
mir,RF,"OrderedDict({'max_depth': 16, 'max_features': 'log2', 'min_samples_split': 3, 'n_estimators': 245})",0.9529,0.9037,0.851
mir,KNN,"OrderedDict({'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'})",0.9517,0.8889,0.8331
mir,SVM,"OrderedDict({'C': 42.89961259700248, 'gamma': 0.1, 'kernel': 'rbf'})",0.9612,0.8963,0.7981
mir,GB,"OrderedDict({'learning_rate': 0.13729231512732415, 'max_depth': 8, 'n_estimators': 235})",0.9493,0.8914,0.8351
mir,XGB,"OrderedDict({'colsample_bytree': 0.9198213766428692, 'learning_rate': 0.04436313425678925, 'max_depth': 6, 'n_estimators': 229, 'subsample': 0.9615408290026747})",0.9529,0.9086,0.8591
mir,LGBM,"OrderedDict({'learning_rate': 0.06348516039427839, 'min_child_samples': 47, 'n_estimators': 174, 'num_leaves': 87})",0.9523,0.8988,0.8263
mu,LR,"OrderedDict({'C': 0.0852378974736118, 'max_iter': 1999})",0.8807,0.8346,0.7574
mu,DT,"OrderedDict({'criterion': 'entropy', 'max_depth': 13, 'min_samples_leaf': 1, 'min_samples_split': 2})",0.9096,0.8395,0.7779
mu,RF,"OrderedDict({'max_depth': 17, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 498})",0.9542,0.9037,0.8488
mu,KNN,"OrderedDict({'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'distance'})",0.9553,0.8815,0.8319
mu,SVM,"OrderedDict({'C': 19.80342078518169, 'gamma': 0.1, 'kernel': 'rbf'})",0.9621,0.9037,0.8232
mu,GB,"OrderedDict({'learning_rate': 0.2578438884524839, 'max_depth': 7, 'n_estimators': 268})",0.9557,0.8988,0.8419
mu,XGB,"OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.17155805270111482, 'max_depth': 6, 'n_estimators': 50, 'subsample': 1.0})",0.9541,0.9012,0.8502
mu,LGBM,"OrderedDict({'learning_rate': 0.15849201309311142, 'min_child_samples': 17, 'n_estimators': 200, 'num_leaves': 84})",0.9542,0.9037,0.8474
vt,LR,"OrderedDict({'C': 0.6016307829589929, 'max_iter': 1878})",0.8569,0.8296,0.7579
vt,DT,"OrderedDict({'criterion': 'entropy', 'max_depth': 19, 'min_samples_leaf': 1, 'min_samples_split': 4})",0.8896,0.7951,0.7055
vt,RF,"OrderedDict({'max_depth': 26, 'max_features': 'log2', 'min_samples_split': 4, 'n_estimators': 478})",0.9376,0.879,0.7992
vt,KNN,"OrderedDict({'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'})",0.9265,0.8296,0.7574
vt,SVM,"OrderedDict({'C': 91.14121688551523, 'gamma': 0.09916962549061586, 'kernel': 'rbf'})",0.9345,0.8123,0.7268
vt,GB,"OrderedDict({'learning_rate': 0.06850276755883697, 'max_depth': 8, 'n_estimators': 300})",0.9272,0.8469,0.7672
vt,XGB,"OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.03277123541725301, 'max_depth': 7, 'n_estimators': 256, 'subsample': 0.6})",0.9329,0.8593,0.7834
vt,LGBM,"OrderedDict({'learning_rate': 0.15849201309311142, 'min_child_samples': 17, 'n_estimators': 200, 'num_leaves': 84})",0.9295,0.842,0.7848
